prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,4096,64,32,105.515
16,4096,64,64,123.658
16,4096,64,128,154.356
16,4096,64,256,213.13
16,4096,64,512,330.9
16,4096,64,1024,567.807
16,4096,64,2048,1041.35
16,4096,64,4096,1979.46
16,4096,64,8192,3877.21
16,4096,64,16384,7678.37
16,4096,128,16,109.514
16,4096,128,32,138.655
16,4096,128,64,169.78
16,4096,128,128,229.236
16,4096,128,256,347.359
16,4096,128,512,577.129
16,4096,128,1024,1040.55
16,4096,128,2048,1965.54
16,4096,128,4096,3862.65
16,4096,128,8192,7597.51
16,4096,128,16384,15039.8
16,8192,0,0,82.1647
16,8192,1,16,90.314
16,8192,1,32,90.9867
16,8192,1,64,93.8233
16,8192,1,128,99.6903
16,8192,1,256,100.148
16,8192,1,512,100.917
16,8192,1,1024,102.816
16,8192,1,2048,113.024
16,8192,1,4096,132.714
16,8192,1,8192,159.572
16,8192,1,16384,218.409
16,8192,2,16,89.0767
16,8192,2,32,91.1897
16,8192,2,64,93.6743
16,8192,2,128,100.32
16,8192,2,256,101.472
16,8192,2,512,105.782
16,8192,2,1024,112.608
16,8192,2,2048,131.659
16,8192,2,4096,160.063
16,8192,2,8192,219.317
16,8192,2,16384,327.23
16,8192,4,16,88.9157
16,8192,4,32,91.7437
16,8192,4,64,94.7083
16,8192,4,128,101.492
16,8192,4,256,106.73
16,8192,4,512,115.978
16,8192,4,1024,134.133
16,8192,4,2048,164.106
16,8192,4,4096,225.268
16,8192,4,8192,336.531
16,8192,4,16384,563.113
16,8192,8,16,89.7383
16,8192,8,32,93.1303
16,8192,8,64,95.7973
16,8192,8,128,108.011
16,8192,8,256,116.885
16,8192,8,512,134.858
16,8192,8,1024,164.81
16,8192,8,2048,223.711
16,8192,8,4096,340.991
16,8192,8,8192,568.062
16,8192,8,16384,1025.01
16,8192,16,16,93.1413
16,8192,16,32,97.865
16,8192,16,64,102.901
16,8192,16,128,114.635
16,8192,16,256,129.93
16,8192,16,512,160.672
16,8192,16,1024,217.813
16,8192,16,2048,338.025
16,8192,16,4096,564.041
16,8192,16,8192,1027.9
16,8192,16,16384,1941.93
16,8192,32,16,99.9993
16,8192,32,32,111.051
16,8192,32,64,120.287
16,8192,32,128,137.642
16,8192,32,256,167.093
16,8192,32,512,226.751
16,8192,32,1024,341.599
16,8192,32,2048,582.216
